"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"175","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-21 03:14:32,2019-11-21 07:50:19,96
"176","Reelease","A69-9006-5440","Johnring","VR2W-133213","55.403733","12.29945",2019-11-22 09:41:41,2019-11-23 06:04:23,1156
"177","Reelease","A69-9006-5440","Releasesite4","VR2W-135454","55.40425","12.304317",2019-11-25 10:32:06,2019-11-26 06:06:47,935
"178","Reelease","A69-9006-5440","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-26 09:26:56,2019-11-27 06:04:51,1339
"179","Reelease","A69-9006-5440","Johnring","VR2W-133213","55.403733","12.29945",2019-11-27 07:30:07,2019-11-27 08:17:37,39
"180","Reelease","A69-9006-5440","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-27 10:52:53,2019-11-27 10:59:30,3
"181","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-27 11:00:16,2019-11-28 06:08:31,1082
"182","Reelease","A69-9006-5440","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-28 08:40:09,2019-11-28 08:52:30,12
"183","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-28 08:52:31,2019-11-28 10:54:53,127
"184","Reelease","A69-9006-5440","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-30 11:23:24,2019-11-30 11:58:38,24
"185","Reelease","A69-9006-5440","VB16","VR2W-112452","55.32425","10.943683",2020-09-10 12:48:56,2020-09-10 13:21:41,5
"186","Reelease","A69-9006-5440","VB16","VR2W-112452","55.32425","10.943683",2020-09-10 14:23:33,2020-09-10 21:05:48,159
"187","Reelease","A69-9006-5440","VB16","VR2W-112452","55.32425","10.943683",2020-09-10 22:13:42,2020-09-11 08:34:27,224
"188","Reelease","A69-9006-5441","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"189","Reelease","A69-9006-5441","Releasesite4","VR2W-135454","55.40425","12.304317",2019-11-20 17:18:33,2019-11-21 06:48:58,312
"190","Reelease","A69-9006-5441","Releasesite1","VR2W-135451","55.4062","12.291033",2019-11-21 09:52:20,2019-11-21 10:02:08,4
"191","Reelease","A69-9006-5442","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"192","Reelease","A69-9006-5442","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:29:02,2019-11-20 17:30:13,2
"193","Reelease","A69-9006-5442","STSUB1","VR2W-135459","55.341383","11.030783",2019-12-25 21:59:19,2019-12-25 22:22:52,14
"194","Reelease","A69-9006-5443","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"195","Reelease","A69-9006-5443","Releasesite1","VR2W-135451","55.4062","12.291033",2019-11-20 17:12:32,2019-11-20 17:35:13,3
"196","Reelease","A69-9006-5444","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"197","Reelease","A69-9006-5444","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:17:25,2019-11-20 20:18:07,89
"198","Reelease","A69-9006-5444","STSUB1","VR2W-135459","55.341383","11.030783",2019-11-28 04:06:53,2019-11-28 04:25:47,6
"199","Reelease","A69-9006-5444","VB11","VR2W-125447","55.314733","10.916733",2019-11-30 05:18:20,2019-11-30 06:10:48,43
"200","Reelease","A69-9006-5445","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"201","Reelease","A69-9006-5445","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-20 17:45:16,2019-11-20 18:08:52,10
"202","Reelease","A69-9006-5446","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
