"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m"
"167","Reelease","A69-9006-5434","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"168","Reelease","A69-9006-5434","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 17:41:55,2019-11-20 17:41:55,1,10615,541.506339,0.051013,541.506339
"169","Reelease","A69-9006-5435","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"170","Reelease","A69-9006-5435","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:06:20,2019-11-20 17:06:20,1,NA,NA,NA,0
"171","Reelease","A69-9006-5435","Sound6","VR2W-133223",56.05462,12.6503,2019-12-10 18:07:10,2019-12-10 18:07:10,1,1731650,87940.911552,0.050784,87940.911552
"172","Reelease","A69-9006-5436","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"173","Reelease","A69-9006-5436","Releasesite4","VR2W-135454",55.40425,12.304317,2019-11-20 17:18:01,2019-11-20 17:28:21,5,9181,341.468475,0.037193,341.468475
"174","Reelease","A69-9006-5437","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"175","Reelease","A69-9006-5437","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:22:53,2019-11-21 06:45:16,232,NA,NA,NA,0
"176","Reelease","A69-9006-5437","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-21 09:54:50,2019-11-21 10:05:00,5,11374,441.413075,0.038809,441.413075
"177","Reelease","A69-9006-5438","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"178","Reelease","A69-9006-5438","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 17:42:06,2019-11-20 17:42:06,1,10626,541.506339,0.050961,541.506339
"179","Reelease","A69-9006-5438","Sound3","VR2W-133216",56.0515333,12.6251667,2019-11-26 21:29:59,2019-11-26 21:41:23,10,532073,87955.299498,0.165307,88496.805837
"180","Reelease","A69-9006-5439","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"181","Reelease","A69-9006-5439","Releasesite4","VR2W-135454",55.40425,12.304317,2019-11-20 17:08:53,2019-11-20 17:10:38,2,8633,341.468475,0.039554,341.468475
"182","Reelease","A69-9006-5439","Lilleb3","VR2W-131092",55.516467,9.709167,2019-12-20 14:04:37,2019-12-20 14:09:57,7,2580839,258960.571847,0.10034,259302.040322
"183","Reelease","A69-9006-5440","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"184","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 17:14:34,2019-11-20 19:15:21,18,8974,541.506339,0.060342,541.506339
"185","Reelease","A69-9006-5440","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 19:15:25,2019-11-20 21:51:41,61,4,1007.209851,251.802463,1548.71619
"186","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 21:53:12,2019-11-20 21:54:34,3,91,1007.209851,11.06824,2555.926041
"187","Reelease","A69-9006-5440","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 21:54:36,2019-11-20 23:20:28,61,2,1007.209851,503.604925,3563.135892
"188","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 23:20:29,2019-11-20 23:20:29,1,1,1007.209851,1007.209851,4570.345743
"189","Reelease","A69-9006-5440","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 23:20:30,2019-11-20 23:36:22,6,1,1007.209851,1007.209851,5577.555594
"190","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 23:37:39,2019-11-20 23:53:38,10,77,1007.209851,13.080647,6584.765445
"191","Reelease","A69-9006-5440","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 23:53:39,2019-11-21 03:12:28,109,1,1007.209851,1007.209851,7591.975296
"192","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 03:14:32,2019-11-21 07:50:19,96,124,1007.209851,8.12266,8599.185147
"193","Reelease","A69-9006-5440","Johnring","VR2W-133213",55.403733,12.29945,2019-11-22 09:41:41,2019-11-23 06:04:23,1156,93082,541.506339,0.005818,9140.691486
"194","Reelease","A69-9006-5440","Releasesite4","VR2W-135454",55.40425,12.304317,2019-11-25 10:32:06,2019-11-26 06:06:47,935,188863,341.468475,0.001808,9482.159961
"195","Reelease","A69-9006-5440","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-26 09:26:56,2019-11-27 06:04:51,1339,12009,382.855376,0.031881,9865.015337
"196","Reelease","A69-9006-5440","Johnring","VR2W-133213",55.403733,12.29945,2019-11-27 07:30:07,2019-11-27 08:17:37,39,5116,441.413075,0.086281,10306.428412
"197","Reelease","A69-9006-5440","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-27 10:52:53,2019-11-27 10:59:30,3,9316,524.285987,0.056278,10830.714399
"198","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-27 11:00:16,2019-11-28 06:08:31,1082,46,1007.209851,21.895866,11837.92425
"199","Reelease","A69-9006-5440","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-28 08:40:09,2019-11-28 08:52:30,12,9098,1007.209851,0.110707,12845.134101
"200","Reelease","A69-9006-5440","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-28 08:52:31,2019-11-28 10:54:53,127,1,1007.209851,1007.209851,13852.343952
